iter	RMSE
0	1885785.971
1	1854908.491
2	1827507.052
3	1799855.888
4	1772229.388
5	1745758.382
6	1727342.018
7	1702789.636
8	1677897.405
9	1657901.507
10	1634071.52
11	1611237.143
12	1590218.49
13	1567794.423
14	1548433.119
15	1527769.44
16	1509475.594
17	1491596.5
18	1474949.101
19	1459674.936
20	1443516.325
21	1428688.719
22	1414881.547
23	1401919.619
24	1393035.528
25	1383593.68
26	1370619.743
27	1356825.527
28	1344194.332
29	1333740.683
30	1322831.747
31	1308956.843
32	1295851.743
33	1285530.26
34	1273096.112
35	1264354.248
36	1254674.37
37	1244382.659
38	1233424.685
39	1223253.912
40	1215526.105
41	1208001.069
42	1198073.747
43	1188836.291
44	1183187.485
45	1178916.418
46	1172260.246
47	1165775.996
48	1157300.847
49	1151209.114
50	1145347.011
51	1138669.543
52	1131710.046
53	1124766.918
54	1118562.396
55	1113708.843
56	1107788.854
57	1100306.565
58	1094909.045
59	1088986.035
60	1084858.027
61	1078560.44
62	1074643.269
63	1073546.117
64	1067585.675
65	1063866.056
66	1058675.012
67	1054201.148
68	1047892.141
69	1045537.972
70	1042449.328
71	1039243.226
72	1035863.053
73	1032258.379
74	1026373.749
75	1023860.331
76	1021645.55
77	1017618.756
78	1012936.977
79	1008383.619
80	1006074.483
81	1002697.174
82	999015.6795
83	995677.6815
84	992640.5459
85	989298.5231
86	988698.7851
87	984885.4868
88	981378.8183
89	977846.1165
90	975249.8697
91	973000.3324
92	969952.265
93	966304.3112
94	963487.242
95	960317.7462
96	958063.0798
97	955838.9329
98	952707.8866
99	952036.3343
100	950013.3698
101	947258.9177
102	944854.7968
103	942826.2447
104	941300.526
105	939008.7504
106	936969.3504
107	934509.215
108	933041.5785
109	931574.2603
110	929913.4539
111	926433.8991
112	922670.119
113	921069.9414
114	919685.9642
115	916959.285
116	914019.295
117	912352.9036
118	911132.9395
119	909781.3614
120	907683.0246
121	905181.672
122	903748.8235
123	902127.4803
124	900309.7591
125	898655.2622
126	896800.5378
127	896389.5114
128	894812.4598
129	894492.8604
130	892967.5886
131	891667.5248
132	888813.8535
133	887914.3075
134	886906.3957
135	885416.9244
