iter	Passed	Remaining
0	30	30592
1	68	34189
2	106	35530
3	143	35739
4	183	36521
5	210	34831
6	231	32793
7	276	34318
8	327	36036
9	355	35206
10	393	35365
11	431	35533
12	471	35816
13	510	35963
14	549	36082
15	586	36069
16	625	36161
17	663	36174
18	701	36234
19	727	35657
20	767	35764
21	805	35824
22	843	35843
23	884	35987
24	911	35546
25	933	34954
26	972	35042
27	1010	35082
28	1051	35195
29	1091	35297
30	1130	35331
31	1170	35401
32	1209	35433
33	1241	35271
34	1281	35344
35	1323	35427
36	1365	35541
37	1411	35745
38	1454	35846
39	1498	35967
40	1542	36069
41	1597	36437
42	1641	36527
43	1685	36628
44	1728	36690
45	1751	36325
46	1794	36376
47	1838	36457
48	1879	36475
49	1919	36470
50	1959	36470
51	2000	36473
52	2041	36471
53	2082	36476
54	2123	36486
55	2165	36499
56	2205	36493
57	2249	36541
58	2297	36638
59	2337	36626
60	2378	36610
61	2418	36593
62	2445	36377
63	2459	35965
64	2504	36024
65	2549	36083
66	2592	36096
67	2645	36258
68	2687	36256
69	2714	36060
70	2755	36060
71	2797	36052
72	2838	36042
73	2880	36047
74	2921	36031
75	2948	35847
76	2991	35858
77	3043	35973
78	3092	36057
79	3172	36488
80	3215	36482
81	3259	36487
82	3301	36479
83	3345	36487
84	3388	36473
85	3427	36431
86	3443	36132
87	3484	36111
88	3525	36087
89	3566	36057
90	3608	36043
91	3649	36023
92	3693	36025
93	3733	35987
94	3773	35950
95	3814	35920
96	3855	35893
97	3898	35878
98	3938	35845
99	3952	35570
100	3992	35533
101	4030	35488
102	4071	35458
103	4113	35443
104	4166	35510
105	4207	35486
106	4243	35412
107	4285	35393
108	4328	35380
109	4379	35432
110	4421	35411
111	4462	35381
112	4505	35364
113	4541	35293
114	4582	35268
115	4624	35238
116	4666	35220
117	4711	35214
118	4754	35196
119	4782	35071
120	4824	35049
121	4867	35029
122	4908	34994
123	4950	34974
124	4995	34968
125	5037	34943
126	5078	34909
127	5092	34690
128	5127	34617
129	5141	34405
130	5182	34375
131	5223	34348
132	5265	34327
133	5304	34283
134	5346	34257
135	5387	34225
136	5429	34199
137	5470	34171
138	5511	34140
139	5532	33987
140	5573	33953
141	5613	33917
142	5654	33889
